Enthalpy_L,Enthalpy_V,Entropy_L,Entropy_V,dryness,Enthalpy,Entropy
15.81,2507.8,0.05748,9.0567,0.27,688.6473000000001,2.4872693999999997
15.81,2507.8,0.05748,9.0567,0.28,713.5672000000001,2.5772616
15.81,2507.8,0.05748,9.0567,0.29,738.4870999999999,2.6672537999999997
15.81,2507.8,0.05748,9.0567,0.3,763.407,2.757246
15.81,2507.8,0.05748,9.0567,0.31,788.3269,2.8472381999999996
15.81,2507.8,0.05748,9.0567,0.32,813.2468,2.9372304
15.81,2507.8,0.05748,9.0567,0.33,838.1667000000001,3.0272226
15.81,2507.8,0.05748,9.0567,0.34,863.0866000000001,3.1172148
15.81,2507.8,0.05748,9.0567,0.35000000000000003,888.0065000000001,3.207207
15.81,2507.8,0.05748,9.0567,0.36,912.9264,3.2971991999999997
15.81,2507.8,0.05748,9.0567,0.37,937.8463,3.3871914
15.81,2507.8,0.05748,9.0567,0.38,962.7662,3.4771835999999996
15.81,2507.8,0.05748,9.0567,0.39,987.6861000000001,3.5671758
15.81,2507.8,0.05748,9.0567,0.4,1012.6060000000001,3.657168
15.81,2507.8,0.05748,9.0567,0.41000000000000003,1037.5259,3.7471602
15.81,2507.8,0.05748,9.0567,0.42,1062.4458,3.8371523999999995
15.81,2507.8,0.05748,9.0567,0.43,1087.3657,3.9271445999999997
15.81,2507.8,0.05748,9.0567,0.44,1112.2856000000002,4.0171368
15.81,2507.8,0.05748,9.0567,0.45,1137.2055,4.107129
15.81,2507.8,0.05748,9.0567,0.46,1162.1254000000001,4.1971212
15.81,2507.8,0.05748,9.0567,0.47000000000000003,1187.0453000000002,4.2871134
15.81,2507.8,0.05748,9.0567,0.48,1211.9652,4.377105599999999
15.81,2507.8,0.05748,9.0567,0.49,1236.8851,4.4670977999999995
15.81,2507.8,0.05748,9.0567,0.5,1261.805,4.55709
15.81,2507.8,0.05748,9.0567,0.51,1286.7249000000002,4.6470822
15.81,2507.8,0.05748,9.0567,0.52,1311.6448,4.7370744
15.81,2507.8,0.05748,9.0567,0.53,1336.5647000000001,4.8270666
15.81,2507.8,0.05748,9.0567,0.54,1361.4846000000002,4.9170587999999995
15.81,2507.8,0.05748,9.0567,0.55,1386.4045,5.007051
15.81,2507.8,0.05748,9.0567,0.56,1411.3244000000002,5.0970432
15.81,2507.8,0.05748,9.0567,0.5700000000000001,1436.2443000000003,5.1870354
15.81,2507.8,0.05748,9.0567,0.58,1461.1642,5.277027599999999
15.81,2507.8,0.05748,9.0567,0.59,1486.0841,5.3670198
15.81,2507.8,0.05748,9.0567,0.6,1511.0040000000001,5.457012
15.81,2507.8,0.05748,9.0567,0.61,1535.9239,5.547004199999999
15.81,2507.8,0.05748,9.0567,0.62,1560.8438,5.636996399999999
15.81,2507.8,0.05748,9.0567,0.63,1585.7637000000002,5.726988599999999
15.81,2507.8,0.05748,9.0567,0.64,1610.6836,5.8169808
15.81,2507.8,0.05748,9.0567,0.65,1635.6035000000002,5.906973
15.81,2507.8,0.05748,9.0567,0.66,1660.5234000000003,5.9969652
15.81,2507.8,0.05748,9.0567,0.67,1685.4433000000001,6.0869574
15.81,2507.8,0.05748,9.0567,0.68,1710.3632000000002,6.1769496
15.81,2507.8,0.05748,9.0567,0.6900000000000001,1735.2831000000003,6.2669418
15.81,2507.8,0.05748,9.0567,0.7000000000000001,1760.2030000000002,6.356934
15.81,2507.8,0.05748,9.0567,0.71,1785.1229,6.446926199999999
15.81,2507.8,0.05748,9.0567,0.72,1810.0428,6.536918399999999
15.81,2507.8,0.05748,9.0567,0.73,1834.9627,6.6269105999999995
15.81,2507.8,0.05748,9.0567,0.74,1859.8826000000001,6.7169028
15.81,2507.8,0.05748,9.0567,0.75,1884.8025000000002,6.806894999999999
15.81,2507.8,0.05748,9.0567,0.76,1909.7224,6.896887199999999
15.81,2507.8,0.05748,9.0567,0.77,1934.6423000000002,6.986879399999999
15.81,2507.8,0.05748,9.0567,0.78,1959.5622000000003,7.0768716
15.81,2507.8,0.05748,9.0567,0.79,1984.4821000000002,7.1668638
15.81,2507.8,0.05748,9.0567,0.8,2009.4020000000003,7.256856
15.81,2507.8,0.05748,9.0567,0.81,2034.3219000000004,7.3468482
15.81,2507.8,0.05748,9.0567,0.8200000000000001,2059.2418000000002,7.4368404
15.81,2507.8,0.05748,9.0567,0.8300000000000001,2084.1617,7.5268326
15.81,2507.8,0.05748,9.0567,0.84,2109.0816,7.616824799999999
15.81,2507.8,0.05748,9.0567,0.85,2134.0015000000003,7.706816999999999
15.81,2507.8,0.05748,9.0567,0.86,2158.9214,7.796809199999999
15.81,2507.8,0.05748,9.0567,0.87,2183.8413,7.8868013999999995
15.81,2507.8,0.05748,9.0567,0.88,2208.7612000000004,7.9767936
15.81,2507.8,0.05748,9.0567,0.89,2233.6811000000002,8.0667858
15.81,2507.8,0.05748,9.0567,0.9,2258.601,8.156778
15.81,2507.8,0.05748,9.0567,0.91,2283.5209000000004,8.2467702
15.81,2507.8,0.05748,9.0567,0.92,2308.4408000000003,8.3367624
15.81,2507.8,0.05748,9.0567,0.93,2333.3607,8.4267546
15.81,2507.8,0.05748,9.0567,0.9400000000000001,2358.2806000000005,8.5167468
15.81,2507.8,0.05748,9.0567,0.9500000000000001,2383.2005000000004,8.606739
15.81,2507.8,0.05748,9.0567,0.96,2408.1204000000002,8.696731199999999
15.81,2507.8,0.05748,9.0567,0.97,2433.0403,8.7867234
15.81,2507.8,0.05748,9.0567,0.98,2457.9602,8.876715599999999
15.81,2507.8,0.05748,9.0567,0.99,2482.8801000000003,8.9667078
22.89,2510.9,0.08297,9.0135,0.0,22.89,0.08297
22.89,2510.9,0.08297,9.0135,0.01,47.7701,0.17227530000000002
22.89,2510.9,0.08297,9.0135,0.02,72.65020000000001,0.26158060000000005
22.89,2510.9,0.08297,9.0135,0.03,97.53030000000001,0.35088590000000003
22.89,2510.9,0.08297,9.0135,0.04,122.41040000000001,0.44019120000000006
22.89,2510.9,0.08297,9.0135,0.05,147.2905,0.5294965
22.89,2510.9,0.08297,9.0135,0.06,172.17060000000004,0.6188018000000001
22.89,2510.9,0.08297,9.0135,0.07,197.0507,0.7081071000000001
22.89,2510.9,0.08297,9.0135,0.08,221.93080000000003,0.7974124000000001
22.89,2510.9,0.08297,9.0135,0.09,246.8109,0.8867177
22.89,2510.9,0.08297,9.0135,0.1,271.69100000000003,0.9760230000000001
22.89,2510.9,0.08297,9.0135,0.11,296.5711,1.0653283000000002
22.89,2510.9,0.08297,9.0135,0.12,321.45120000000003,1.1546336000000001
22.89,2510.9,0.08297,9.0135,0.13,346.3313,1.2439389
22.89,2510.9,0.08297,9.0135,0.14,371.2114,1.3332442000000002
22.89,2510.9,0.08297,9.0135,0.15,396.0915,1.4225495000000001
22.89,2510.9,0.08297,9.0135,0.16,420.9716,1.5118548000000003
22.89,2510.9,0.08297,9.0135,0.17,445.85170000000005,1.6011601000000002
22.89,2510.9,0.08297,9.0135,0.18,470.7318,1.6904654000000001
22.89,2510.9,0.08297,9.0135,0.19,495.61190000000005,1.7797707000000003
22.89,2510.9,0.08297,9.0135,0.2,520.4920000000001,1.8690760000000002
22.89,2510.9,0.08297,9.0135,0.21,545.3721,1.9583813
22.89,2510.9,0.08297,9.0135,0.22,570.2522,2.0476866000000005
22.89,2510.9,0.08297,9.0135,0.23,595.1323000000001,2.1369919000000004
22.89,2510.9,0.08297,9.0135,0.24,620.0124000000001,2.2262972000000003
22.89,2510.9,0.08297,9.0135,0.25,644.8925,2.3156025000000002
22.89,2510.9,0.08297,9.0135,0.26,669.7726,2.4049078
22.89,2510.9,0.08297,9.0135,0.27,694.6527000000001,2.4942131000000005
22.89,2510.9,0.08297,9.0135,0.28,719.5328000000001,2.5835184000000004
